	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4060	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	NA
ASV_4061	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA
ASV_4062	Bacteria	NA	NA	NA	NA	NA	NA
ASV_4063	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
ASV_4064	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_4065	Bacteria	NA	NA	NA	NA	NA	NA
ASV_4066	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Incertae_Sedis	Phocaeicola	NA
ASV_4067	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	NA
ASV_4068	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	NA	NA
ASV_4069	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	NA
ASV_4070	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Incertae_Sedis	Phocaeicola	NA
ASV_4071	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA	NA
ASV_4072	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Cryptobacterium	NA
ASV_4073	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	NA
ASV_4074	Bacteria	Bacillota	NA	NA	NA	NA	NA
ASV_4075	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
ASV_4076	Bacteria	Bacillota	NA	NA	NA	NA	NA
ASV_4077	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	NA
ASV_4078	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	NA
ASV_4079	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	NA
ASV_4080	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
ASV_4081	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
ASV_4082	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
ASV_4083	Bacteria	Bacillota	NA	NA	NA	NA	NA
ASV_4084	Bacteria	NA	NA	NA	NA	NA	NA
ASV_4085	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA
ASV_4086	NA	NA	NA	NA	NA	NA	NA
ASV_4087	Bacteria	NA	NA	NA	NA	NA	NA
ASV_4088	Bacteria	Bacillota	NA	NA	NA	NA	NA
ASV_4089	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	NA
ASV_4090	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	NA
ASV_4091	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_4092	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA
ASV_4093	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_4094	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
ASV_4095	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus	NA
ASV_4096	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	NA	NA	NA
ASV_4097	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	NA
ASV_4098	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
ASV_4099	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Anaeroglobus	NA
ASV_4100	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV_4101	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
ASV_4102	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV_4103	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	NA
ASV_4104	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV_4105	Bacteria	NA	NA	NA	NA	NA	NA
